"Year","Month","Geography_Type","Strata","Strata_Name","Count","Annotation_Code","Annotation_Desc","Data_Extract_Date","Data_Revision_Date"
2024,08,Occurrence,Place Type,Freestanding Birth Center,113,,,09/15/2025,09/16/2025
2024,08,Occurrence,Place Type,Home,353,,,09/15/2025,09/16/2025
2024,08,Occurrence,Place Type,Other/Unknown,74,,,09/15/2025,09/16/2025
2024,09,Occurrence,Total Population,Total Population,34857,,,09/15/2025,09/16/2025
2024,09,Occurrence,Place Type,Hospital,34313,,,09/15/2025,09/16/2025
2024,09,Occurrence,Place Type,Freestanding Birth Center,112,,,09/15/2025,09/16/2025
2024,09,Occurrence,Place Type,Home,369,,,09/15/2025,09/16/2025
2024,09,Occurrence,Place Type,Other/Unknown,63,,,09/15/2025,09/16/2025
2024,10,Occurrence,Total Population,Total Population,35466,,,09/15/2025,09/16/2025
2024,10,Occurrence,Place Type,Hospital,34994,,,09/15/2025,09/16/2025
2024,10,Occurrence,Place Type,Freestanding Birth Center,83,,,09/15/2025,09/16/2025
2024,10,Occurrence,Place Type,Home,333,,,09/15/2025,09/16/2025
2024,10,Occurrence,Place Type,Other/Unknown,56,,,09/15/2025,09/16/2025
2024,11,Occurrence,Total Population,Total Population,32740,,,09/15/2025,09/16/2025
2024,11,Occurrence,Place Type,Hospital,32288,,,09/15/2025,09/16/2025
2024,11,Occurrence,Place Type,Freestanding Birth Center,85,,,09/15/2025,09/16/2025
2024,11,Occurrence,Place Type,Home,304,,,09/15/2025,09/16/2025
2024,11,Occurrence,Place Type,Other/Unknown,63,,,09/15/2025,09/16/2025
2024,12,Occurrence,Total Population,Total Population,34010,,,09/15/2025,09/16/2025
2024,12,Occurrence,Place Type,Hospital,33571,,,09/15/2025,09/16/2025
2024,12,Occurrence,Place Type,Freestanding Birth Center,78,,,09/15/2025,09/16/2025
2024,12,Occurrence,Place Type,Home,306,,,09/15/2025,09/16/2025
2024,12,Occurrence,Place Type,Other/Unknown,55,,,09/15/2025,09/16/2025
2025,01,Occurrence,Total Population,Total Population,33736,,,09/15/2025,09/16/2025
2025,01,Occurrence,Place Type,Hospital,33338,,,09/15/2025,09/16/2025
2025,01,Occurrence,Place Type,Freestanding Birth Center,73,,,09/15/2025,09/16/2025
2025,01,Occurrence,Place Type,Home,255,,,09/15/2025,09/16/2025
2025,01,Occurrence,Place Type,Other/Unknown,70,,,09/15/2025,09/16/2025
2025,02,Occurrence,Total Population,Total Population,30366,,,09/15/2025,09/16/2025
2025,02,Occurrence,Place Type,Hospital,29969,,,09/15/2025,09/16/2025
2025,02,Occurrence,Place Type,Freestanding Birth Center,62,,,09/15/2025,09/16/2025
2025,02,Occurrence,Place Type,Home,282,,,09/15/2025,09/16/2025
2025,02,Occurrence,Place Type,Other/Unknown,53,,,09/15/2025,09/16/2025
2025,03,Occurrence,Total Population,Total Population,32409,,,09/15/2025,09/16/2025
2025,03,Occurrence,Place Type,Hospital,31982,,,09/15/2025,09/16/2025
2025,03,Occurrence,Place Type,Freestanding Birth Center,67,,,09/15/2025,09/16/2025
2025,03,Occurrence,Place Type,Home,305,,,09/15/2025,09/16/2025
2025,03,Occurrence,Place Type,Other/Unknown,55,,,09/15/2025,09/16/2025
2025,04,Occurrence,Total Population,Total Population,30976,,,09/15/2025,09/16/2025
2025,04,Occurrence,Place Type,Hospital,30575,,,09/15/2025,09/16/2025
2025,04,Occurrence,Place Type,Freestanding Birth Center,69,,,09/15/2025,09/16/2025
2025,04,Occurrence,Place Type,Home,285,,,09/15/2025,09/16/2025
2025,04,Occurrence,Place Type,Other/Unknown,47,,,09/15/2025,09/16/2025
2025,05,Occurrence,Total Population,Total Population,32577,,,09/15/2025,09/16/2025
2025,05,Occurrence,Place Type,Hospital,32146,,,09/15/2025,09/16/2025
2025,05,Occurrence,Place Type,Freestanding Birth Center,80,,,09/15/2025,09/16/2025
2025,05,Occurrence,Place Type,Home,308,,,09/15/2025,09/16/2025
2025,05,Occurrence,Place Type,Other/Unknown,43,,,09/15/2025,09/16/2025
2025,06,Occurrence,Total Population,Total Population,31959,,,09/15/2025,09/16/2025
2025,06,Occurrence,Place Type,Hospital,31562,,,09/15/2025,09/16/2025
2025,06,Occurrence,Place Type,Freestanding Birth Center,75,,,09/15/2025,09/16/2025
2025,06,Occurrence,Place Type,Home,280,,,09/15/2025,09/16/2025
2025,06,Occurrence,Place Type,Other/Unknown,42,,,09/15/2025,09/16/2025
2025,07,Occurrence,Total Population,Total Population,34483,,,09/15/2025,09/16/2025
2025,07,Occurrence,Place Type,Hospital,34138,,,09/15/2025,09/16/2025
2025,07,Occurrence,Place Type,Freestanding Birth Center,68,,,09/15/2025,09/16/2025
2025,07,Occurrence,Place Type,Home,247,,,09/15/2025,09/16/2025
2025,07,Occurrence,Place Type,Other/Unknown,30,,,09/15/2025,09/16/2025
2025,08,Occurrence,Total Population,Total Population,34403,,,09/15/2025,09/16/2025
2025,08,Occurrence,Place Type,Hospital,34166,,,09/15/2025,09/16/2025
2025,08,Occurrence,Place Type,Freestanding Birth Center,53,,,09/15/2025,09/16/2025
2025,08,Occurrence,Place Type,Home,156,,,09/15/2025,09/16/2025
2025,08,Occurrence,Place Type,Other/Unknown,28,,,09/15/2025,09/16/2025
